ADAPLAN,BIKERACK,DESTINAT_A,DESTINAT_B,DESTINAT_C,DESTINAT_D,EQPLAN,FARMEBT,FARMMRKT,FARMPOLICY_A,FARMPOLICY_B,FARMPOLICY_C,FARMPOLICY_D,FARMPOLICY_E,FEMMAT,FEMWEEK,FEMWORK,FOODCOUN,FOODSEC,GENMANDATE,GENPLAN,GENPLANUP,GENPLANYR,GOVSTRUCT_A,GOVSTRUCT_B,GOVSTRUCT_C,GOVSTRUCT_D,GOVSTRUCT_E,GOVSTRUCT_F,HEALTHFOOD_A,HEALTHFOOD_B,HEALTHFOOD_C,HLTHFOODLOW,LEADTEST,LOCALTAC,LOWINCOME,NR_adj_wt,OBPLAN_A,OBPLAN_B,OBPLAN_C,OBPLAN_D,OBPLAN_E,OBPLAN_F,OBPLAN_G,OTHAGREE,OTHCONTRACT,OTHFOOD,OTHGOV,OTHOWN,OTHPLAN_A,OTHPLAN_B,OTHPLAN_C,OTHPLAN_D,OTHPLAN_E,OTHSERVE,PAGOV_A,PAGOV_B,PAGOV_C,PARKPOL_A,PARKPOL_B,PARKPOL_C,PARKPOL_D,PARKPOL_E,PARKPOL_F,PHCOUNC_A,PHCOUNC_B,POPULATIONSIZE,POVERTY_BINARY,PUBAUTH,PUBCOMM_A,PUBCOMM_B,PUBCOMM_C,PUBCOMM_D,PUBCOMM_E,PUBCURRENT,PUBDEMAND,PUBLOC_A,PUBLOC_B,PUBLOC_C,PUBLOC_D,PUBLOC_E,PUBMODES,PUBMULTI,PUBSPECS,PUBTOD,PUBTRANS,REGION,REPTAC_A,REPTAC_B,SCHDOOR,SCHJOINT,SCHREC,SNAP,STOREOPEN_A,STOREOPEN_B,STOREOPEN_C,STRATUMC,STREETADOPT,STREETCOMP,STREETFORM,STREETGOV,STREETMEAS,STREETREVISE,STREETZERO,SU_ID,ZONECODE_A,ZONECODE_B,ZONECODE_C,ZONECODE_D,ZONECODE_E,ZONECODE_F,ZONECODE_G,ZONELOC,ZONEPOL,ZONEREM,ZONEREP_A,ZONEREP_B
77,2,1,77,1,77,2,2,1,1,2,2,1,2,1,98,77,1,1,1,1,2,5,98,1,1,1,98,98,2,2,1,1,2,1,97,5.7865607588,1,1,1,1,1,1,2,97,97,2,97,97,1,98,1,1,98,2,1,2,2,1,1,1,1,2,1,2,1,2,2,1,1,2,2,1,98,1,1,1,2,1,1,1,2,2,1,2,1,1,2,1,3,1,1,2,2,2,2,1,2,1,2,1,2,5,2,11000013,2,2,2,1,1,1,2,1,2,2,2,1
2,2,97,97,97,97,2,2,1,1,1,2,2,2,2,97,1,97,2,1,1,4,5,2,1,1,1,1,2,2,2,2,97,2,1,97,5.7865607588,1,2,1,1,1,1,2,97,97,1,2,97,2,2,2,2,2,2,1,1,1,2,1,1,1,2,2,97,97,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,97,2,2,2,2,1,2,1,97,97,2,2,2,2,2,1,97,2,2,97,97,97,2,11000014,2,1,2,1,2,1,2,1,1,2,2,1
3,2,1,1,1,1,4,2,1,1,2,77,2,77,2,97,77,97,77,1,1,1,1,2,1,2,1,1,2,2,2,2,97,2,2,2,3.7496270015,1,2,1,1,1,1,2,97,97,1,2,97,1,1,1,2,2,2,2,2,2,77,2,1,77,2,2,97,97,1,2,1,1,2,1,1,2,1,1,77,77,77,77,77,97,2,2,1,2,1,97,97,97,97,2,1,1,2,2,1,1,1,2,1,1,1,2,11000017,1,1,1,2,1,1,2,1,2,2,2,1
1,1,97,97,97,97,2,2,1,1,2,2,1,1,1,3,1,1,1,2,1,5,1,1,1,1,1,1,2,1,1,1,1,2,1,97,3.7496270015,1,2,1,1,1,2,1,97,97,1,2,2,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,2,1,2,1,2,1,2,5,1,11000018,1,1,1,1,1,1,1,1,1,3,2,2
3,2,97,97,97,97,2,97,3,2,2,2,2,2,1,4,2,1,1,97,2,97,97,1,1,1,1,1,98,2,1,2,1,1,1,97,5.7865607588,1,98,1,98,98,98,98,97,97,2,97,2,1,98,1,98,98,1,1,98,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1,2,1,2,1,2,1,2,2,2,1,1,1,98,1,3,1,1,77,2,2,2,1,1,1,2,1,77,1,2,11000019,2,1,1,2,2,1,2,1,2,2,98,1
1,77,97,97,97,97,2,1,1,1,1,2,1,1,1,3,1,97,2,2,1,1,5,2,1,1,1,1,2,1,2,1,1,1,2,1,3.7496270015,2,2,1,1,1,1,77,97,97,1,77,97,1,2,1,77,2,77,1,77,1,2,1,1,1,1,1,97,97,1,2,2,1,98,1,1,98,1,2,1,1,1,1,1,97,77,77,1,77,1,97,97,97,97,77,77,2,1,1,1,97,2,1,97,97,97,77,11000024,2,2,77,1,2,1,77,1,2,1,2,1
1,1,1,1,1,1,2,2,1,1,1,1,2,77,2,97,2,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,77,2,2,77,3.7496270015,1,1,1,1,1,2,2,97,97,2,97,97,1,2,1,2,2,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,77,1,1,1,1,1,97,97,97,97,2,1,1,1,1,1,1,1,2,1,77,1,2,11000025,77,1,77,1,1,1,2,1,2,2,1,1
2,1,1,3,1,77,1,2,1,1,2,2,1,2,1,3,1,2,1,2,1,3,4,2,1,1,1,1,2,2,2,2,97,2,2,97,3.7496270015,2,2,1,1,2,2,2,97,97,1,2,1,2,2,1,2,2,1,2,1,1,77,1,1,1,77,1,1,1,1,2,1,1,2,2,1,77,1,1,1,3,1,2,1,97,77,2,2,2,1,97,97,3,1,1,77,2,2,2,1,2,1,2,1,77,5,2,11000030,2,1,1,1,1,1,2,1,2,2,2,1
1,2,1,98,1,98,1,2,1,1,1,98,98,1,1,3,1,1,1,1,1,3,3,1,1,1,1,1,2,1,98,1,1,77,2,1,5.7865607588,1,1,1,1,1,1,2,97,97,1,77,77,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,1,2,2,3,1,98,98,1,98,1,1,1,98,98,98,1,1,2,2,1,1,1,97,97,3,1,1,2,1,1,1,1,1,1,1,1,1,1,2,11000031,1,1,2,1,1,1,2,1,2,2,2,1
1,2,1,1,1,1,77,1,1,1,77,77,77,77,2,97,2,1,1,97,2,97,97,1,1,1,1,1,2,77,77,77,97,77,1,97,3.7496270015,97,97,97,97,97,97,97,97,97,1,2,2,2,2,2,2,2,1,77,77,77,77,77,77,77,77,77,1,1,1,2,77,1,1,1,1,98,1,1,1,1,1,1,1,97,77,77,1,77,1,2,1,97,97,2,1,77,77,77,1,97,2,77,97,97,97,2,11000032,98,98,98,98,98,98,98,2,98,77,97,97
